sale_date,car_model,sales_amount,dealer,color,engine_capacity,model_year,horsepower,type
2022-03-26,BMW 5 Series,15512,Dealer B,Gray,2.5L,2021,157,Intermediate Sedan
2022-11-20,BMW 5 Series,53739,Dealer B,Silver,3.5L,2022,190,Standard Sedan
2024-11-27,Audi A4,41154,Dealer B,Black,3.5L,2025,344,Sports
2023-05-07,Ford Mustang,36362,Dealer B,Gray,2.5L,2023,188,Standard Sedan
2024-02-05,Ford Mustang,28841,Dealer B,White,3.0L,2020,298,Intermediate Sedan
2022-02-20,Toyota Camry,53992,Dealer B,Black,2.5L,2023,301,SUV
2021-12-13,Honda Accord,16118,Dealer B,Silver,3.0L,2020,245,Premium
2025-01-31,Chevrolet Malibu,38081,Dealer B,Silver,3.5L,2023,236,Standard Sedan
2021-06-15,Honda Civic,47768,Dealer B,Gray,3.5L,2020,369,SUV
2022-11-22,Ford Focus,16378,Dealer B,Gray,3.5L,2023,330,Intermediate Sedan
2022-07-02,BMW 5 Series,21916,Dealer B,Red,2.5L,2023,380,Premium
2022-03-20,Ford Focus,29985,Dealer B,Black,3.0L,2020,178,Standard Sedan
2023-10-15,Honda Accord,39803,Dealer B,Silver,3.5L,2023,222,Standard Sedan
2024-06-08,Audi A4,46284,Dealer B,Black,2.0L,2023,198,Intermediate Sedan
2024-04-25,Ford Mustang,56856,Dealer B,Black,3.5L,2024,302,Sports
2021-08-13,Toyota Camry,31826,Dealer B,Gray,3.5L,2022,312,Standard Sedan
2021-05-17,Audi A4,31356,Dealer B,White,2.5L,2024,160,Standard Sedan
2021-02-05,Chevrolet Impala,51498,Dealer B,White,2.5L,2022,397,Standard Sedan
2022-05-30,Audi A4,24075,Dealer B,Blue,2.0L,2020,315,SUV
2021-08-28,Honda Accord,22824,Dealer B,Black,3.0L,2023,183,Sports
2023-12-05,BMW 5 Series,29413,Dealer B,Green,2.0L,2021,314,SUV
2023-11-08,Honda Accord,47344,Dealer B,White,2.0L,2021,361,SUV
2021-04-24,Ford Mustang,51672,Dealer B,Green,3.0L,2025,188,Standard Sedan
2022-08-08,Honda Accord,55357,Dealer B,Silver,2.0L,2025,233,Intermediate Sedan
2024-05-26,Honda Civic,19169,Dealer B,Green,3.5L,2024,217,Sports
2020-02-03,Audi A6,41857,Dealer B,Blue,3.0L,2021,241,Intermediate Sedan
2021-08-22,Audi A4,54162,Dealer B,Blue,3.5L,2023,279,Premium
2020-03-02,Toyota Corolla,25609,Dealer B,Green,2.0L,2020,151,Intermediate Sedan
2023-10-24,BMW 3 Series,44863,Dealer B,Silver,3.0L,2021,340,Standard Sedan
2021-06-02,Chevrolet Impala,17689,Dealer B,Green,3.5L,2020,368,SUV
2022-07-30,BMW 3 Series,55749,Dealer B,Gray,2.5L,2025,265,Standard Sedan
2023-10-17,BMW 3 Series,51309,Dealer B,Black,2.5L,2020,249,Standard Sedan
2020-12-23,Ford Mustang,57943,Dealer B,White,2.0L,2020,169,Sports
2023-12-17,Honda Accord,25138,Dealer B,Green,3.5L,2021,291,Sports
2023-09-13,Audi A6,22116,Dealer B,Red,3.5L,2022,286,Sports
2023-09-13,BMW 3 Series,56643,Dealer B,Red,2.0L,2021,187,Intermediate Sedan
2023-09-21,Chevrolet Malibu,49216,Dealer B,Silver,3.0L,2024,298,Standard Sedan
2020-09-23,Chevrolet Malibu,57434,Dealer B,Silver,3.5L,2025,255,Standard Sedan
2021-10-29,Chevrolet Impala,37869,Dealer B,Red,2.5L,2025,257,SUV
2021-05-02,Chevrolet Impala,36919,Dealer B,Silver,2.5L,2023,300,Standard Sedan
2023-07-24,BMW 3 Series,48576,Dealer B,Green,3.5L,2024,256,Sports
2023-11-27,Ford Mustang,51968,Dealer B,Gray,2.0L,2022,378,Standard Sedan
2024-03-25,Ford Mustang,31882,Dealer B,Silver,2.5L,2024,211,Intermediate Sedan
2023-08-16,Ford Mustang,44324,Dealer B,Green,3.0L,2023,248,Standard Sedan
2020-02-05,Honda Accord,39144,Dealer B,Gray,2.0L,2025,307,Premium
2024-12-29,Honda Civic,51868,Dealer B,White,3.5L,2025,357,Standard Sedan
2021-12-05,Ford Focus,45967,Dealer B,Gray,3.5L,2024,198,Sports
2021-04-29,Toyota Corolla,53128,Dealer B,Blue,3.0L,2022,180,Intermediate Sedan
2022-06-27,Audi A4,22350,Dealer B,Black,3.0L,2023,183,Intermediate Sedan
2024-12-09,Chevrolet Malibu,42656,Dealer B,Red,2.5L,2023,150,Standard Sedan
2021-12-12,Chevrolet Malibu,41385,Dealer B,Gray,3.5L,2020,160,Sports
2022-09-30,BMW 3 Series,40219,Dealer B,Black,2.0L,2024,218,Standard Sedan
2023-07-11,Chevrolet Malibu,26167,Dealer B,Silver,2.0L,2020,205,Intermediate Sedan
2023-02-28,BMW 3 Series,31198,Dealer B,Blue,2.5L,2021,261,Intermediate Sedan
2022-08-12,Audi A6,28040,Dealer B,Red,3.5L,2025,248,Premium
2020-08-20,Toyota Camry,17866,Dealer B,Gray,2.5L,2024,290,Intermediate Sedan
2025-03-16,Chevrolet Impala,57128,Dealer B,Red,3.0L,2023,396,Standard Sedan
2020-10-15,Toyota Camry,44911,Dealer B,Silver,3.0L,2020,261,SUV
2022-07-21,Audi A6,33426,Dealer B,White,3.0L,2024,161,Premium
2021-06-05,Audi A4,40631,Dealer B,Green,2.0L,2024,335,Sports
2023-10-30,Honda Civic,47998,Dealer B,Red,3.0L,2022,398,Standard Sedan
2022-06-09,BMW 3 Series,17943,Dealer B,Black,3.5L,2020,367,Standard Sedan
2020-03-12,BMW 3 Series,48353,Dealer B,White,2.0L,2023,338,SUV
2024-05-06,Ford Mustang,58073,Dealer B,Red,3.0L,2021,385,Premium
2020-07-02,Audi A4,25306,Dealer B,Red,3.0L,2023,177,Sports
2021-02-22,Honda Accord,52857,Dealer B,Silver,2.0L,2020,224,Premium
2024-09-15,Toyota Camry,33968,Dealer B,Gray,2.0L,2022,247,SUV
2020-08-15,Honda Civic,24756,Dealer B,White,3.5L,2023,353,Sports
2021-03-27,Honda Accord,27140,Dealer B,Black,2.5L,2021,393,Premium
2021-05-23,Honda Accord,53792,Dealer B,Red,2.5L,2022,367,SUV
2021-07-14,BMW 5 Series,40560,Dealer B,Green,2.0L,2023,283,SUV
2024-07-30,BMW 3 Series,35309,Dealer B,Red,3.0L,2021,249,Premium
2022-11-19,Ford Focus,17629,Dealer B,White,2.5L,2023,161,Standard Sedan
2020-05-31,Chevrolet Impala,34722,Dealer B,Gray,3.5L,2022,224,Standard Sedan
2024-05-07,Audi A6,27024,Dealer B,Gray,2.5L,2024,274,Standard Sedan
2021-07-29,Honda Civic,51086,Dealer B,Green,2.0L,2021,235,Premium
2022-04-29,Toyota Camry,55192,Dealer B,Blue,3.0L,2023,387,Intermediate Sedan
2021-08-02,Ford Focus,27062,Dealer B,Green,3.5L,2023,200,Intermediate Sedan
2023-06-08,Ford Focus,37465,Dealer B,Black,3.5L,2024,177,Standard Sedan
2020-04-26,Honda Civic,15357,Dealer B,White,3.0L,2022,362,Intermediate Sedan
2024-04-15,Chevrolet Malibu,37650,Dealer B,Black,2.0L,2022,325,Sports
2023-09-21,Honda Accord,18753,Dealer B,Black,2.0L,2021,288,Intermediate Sedan
2022-11-28,Toyota Corolla,45425,Dealer B,White,2.0L,2023,313,Intermediate Sedan
2021-04-19,Chevrolet Malibu,21549,Dealer B,Green,3.0L,2021,231,Sports
2024-11-18,Toyota Camry,39103,Dealer B,Red,2.5L,2021,343,Premium
2024-11-25,Chevrolet Impala,42191,Dealer B,Green,2.0L,2020,155,Premium
2024-04-26,BMW 5 Series,23986,Dealer B,Red,3.5L,2024,180,SUV
2024-10-07,Toyota Corolla,57837,Dealer B,Black,3.5L,2025,257,Premium
2023-07-30,Chevrolet Malibu,22683,Dealer B,White,2.0L,2025,189,Premium
2022-03-08,Honda Civic,50403,Dealer B,White,3.5L,2025,398,Standard Sedan
2021-05-19,Honda Civic,53120,Dealer B,Black,3.0L,2022,166,Intermediate Sedan
2021-02-22,Honda Accord,49780,Dealer B,Gray,3.5L,2021,229,Premium
2021-10-14,Audi A4,18592,Dealer B,Black,3.5L,2023,175,Premium
2021-11-20,Ford Mustang,24572,Dealer B,White,3.0L,2022,385,Standard Sedan
2021-06-03,Honda Accord,22945,Dealer B,Gray,3.5L,2022,252,Premium
2023-10-23,BMW 3 Series,32441,Dealer B,Red,3.0L,2024,378,SUV
2021-12-07,Ford Focus,30573,Dealer B,Green,3.5L,2025,352,Standard Sedan
2023-06-19,Toyota Camry,15390,Dealer B,Green,3.5L,2020,170,Standard Sedan
2020-05-22,Toyota Camry,33577,Dealer B,Red,3.0L,2023,370,Standard Sedan
2023-11-30,Audi A6,26938,Dealer B,Silver,2.0L,2020,277,Sports
2023-11-04,BMW 5 Series,35800,Dealer B,Silver,3.0L,2023,245,Intermediate Sedan
2024-09-07,Honda Accord,17197,Dealer B,Green,3.0L,2024,339,Premium
2022-11-28,Honda Accord,17164,Dealer B,Silver,2.5L,2022,185,SUV
2023-07-05,Audi A4,48093,Dealer B,Black,2.5L,2023,362,SUV
2020-09-27,Chevrolet Malibu,40250,Dealer B,Blue,3.0L,2021,169,Standard Sedan
2021-08-22,Toyota Corolla,54906,Dealer B,White,2.5L,2022,195,Sports
2023-11-12,Chevrolet Malibu,54218,Dealer B,Blue,2.0L,2021,369,SUV
2022-06-06,Toyota Corolla,16109,Dealer B,Green,3.5L,2024,293,Standard Sedan
2023-01-20,Ford Mustang,30093,Dealer B,Green,2.5L,2020,280,Sports
2022-01-22,Ford Mustang,25569,Dealer B,Silver,3.5L,2023,283,Intermediate Sedan
2022-05-02,BMW 5 Series,40494,Dealer B,Green,3.0L,2023,233,Intermediate Sedan
2022-10-31,Audi A4,18856,Dealer B,Silver,3.0L,2021,156,Intermediate Sedan
2024-04-15,Audi A6,36683,Dealer B,Blue,3.5L,2023,371,Intermediate Sedan
2022-12-09,Ford Mustang,55790,Dealer B,Black,2.0L,2020,333,Sports
2023-10-02,Chevrolet Impala,44121,Dealer B,Red,2.5L,2024,171,Intermediate Sedan
2022-08-07,Chevrolet Impala,52114,Dealer B,Blue,3.5L,2025,335,SUV
2023-07-18,Honda Accord,27770,Dealer B,Red,2.5L,2021,376,SUV
2021-06-23,Honda Civic,23227,Dealer B,Blue,2.0L,2022,262,Premium
2023-11-13,Ford Focus,17325,Dealer B,Green,2.0L,2021,381,Sports
2020-11-24,Honda Accord,16565,Dealer B,Silver,3.0L,2022,324,Standard Sedan
2023-12-27,BMW 5 Series,56687,Dealer B,Black,2.0L,2023,391,Standard Sedan
2024-11-24,Audi A6,25385,Dealer B,Red,2.0L,2021,181,Premium
2023-12-17,Chevrolet Malibu,56457,Dealer B,Blue,2.5L,2022,203,Premium
2024-10-29,Audi A4,56556,Dealer B,Black,2.5L,2023,322,SUV
2024-03-04,Honda Accord,39696,Dealer B,White,2.5L,2024,291,SUV
2023-05-17,Honda Accord,40679,Dealer B,Gray,3.0L,2021,221,Standard Sedan
2022-09-06,Chevrolet Impala,30606,Dealer B,Silver,2.5L,2022,361,Standard Sedan
2020-07-13,Ford Focus,53629,Dealer B,Green,2.5L,2021,361,Premium
2023-06-06,Chevrolet Impala,38119,Dealer B,White,3.0L,2020,236,Premium
2024-08-26,BMW 5 Series,59163,Dealer B,Black,2.0L,2025,287,Intermediate Sedan
2022-12-18,BMW 3 Series,56891,Dealer B,Green,3.0L,2024,285,Standard Sedan
2020-10-27,Chevrolet Malibu,53913,Dealer B,White,2.0L,2023,399,Premium
2022-05-27,Honda Civic,29083,Dealer B,Gray,3.5L,2021,292,Premium
2021-09-26,Toyota Camry,28595,Dealer B,Green,3.5L,2022,289,Standard Sedan
2022-05-21,Toyota Camry,20738,Dealer B,Gray,3.0L,2023,298,Premium
2025-03-19,BMW 3 Series,49758,Dealer B,Gray,2.0L,2024,277,SUV
2022-03-17,BMW 3 Series,51012,Dealer B,Silver,3.0L,2021,340,Standard Sedan
2024-03-19,Honda Accord,28875,Dealer B,Gray,3.5L,2025,279,Standard Sedan
2022-07-19,Honda Civic,46622,Dealer B,White,3.0L,2022,317,Intermediate Sedan
2022-06-07,Honda Accord,49252,Dealer B,Black,3.5L,2023,307,Intermediate Sedan
2020-11-21,Toyota Corolla,41691,Dealer B,Gray,3.5L,2021,196,Standard Sedan
2020-05-17,Chevrolet Impala,57977,Dealer B,Blue,3.0L,2021,208,Intermediate Sedan
2021-10-16,BMW 3 Series,59756,Dealer B,Red,3.0L,2024,398,Sports
2024-08-27,Ford Focus,15514,Dealer B,Black,3.5L,2024,343,Premium
2024-11-06,Audi A4,53401,Dealer B,Black,2.0L,2025,252,Sports
2023-01-06,BMW 3 Series,38193,Dealer B,Silver,3.5L,2021,208,Sports
2024-08-13,Chevrolet Impala,40398,Dealer B,Silver,2.0L,2020,343,Premium
2023-07-09,Chevrolet Malibu,37982,Dealer B,Black,2.5L,2022,218,Intermediate Sedan
2022-09-22,Ford Focus,25073,Dealer B,Silver,2.5L,2025,150,Sports
2020-08-27,Ford Focus,28375,Dealer B,Gray,2.0L,2024,354,Sports
2020-12-08,BMW 3 Series,38643,Dealer B,White,3.0L,2021,227,Intermediate Sedan
2021-06-10,Ford Mustang,47222,Dealer B,Black,2.0L,2021,251,SUV
2022-01-20,Toyota Corolla,25760,Dealer B,Green,3.5L,2023,290,Intermediate Sedan
2020-02-18,Honda Accord,27820,Dealer B,Green,2.5L,2024,197,SUV
2022-03-23,Audi A6,49355,Dealer B,Gray,2.0L,2024,369,Premium
2021-11-15,Ford Focus,16382,Dealer B,Black,2.5L,2022,395,Standard Sedan
2021-07-28,Honda Civic,16869,Dealer B,White,2.5L,2021,208,Sports
2020-09-08,Audi A4,29117,Dealer B,Silver,2.5L,2023,240,Premium
2020-03-21,BMW 5 Series,15641,Dealer B,Red,3.0L,2025,291,SUV
2021-01-04,Honda Accord,16831,Dealer B,Black,3.5L,2020,305,Premium
2022-12-01,Honda Accord,35237,Dealer B,Red,2.0L,2023,199,Premium
2022-09-07,Honda Accord,21310,Dealer B,Blue,3.5L,2023,203,SUV
2023-04-24,Honda Accord,21574,Dealer B,Black,2.0L,2025,357,Standard Sedan
2021-09-01,Chevrolet Malibu,39121,Dealer B,Blue,3.5L,2020,199,Intermediate Sedan
2020-10-10,Audi A6,32756,Dealer B,Red,3.0L,2022,178,SUV
2022-10-17,Toyota Corolla,55899,Dealer B,Green,3.5L,2025,381,Sports
2020-09-16,BMW 3 Series,40929,Dealer B,Black,3.5L,2021,302,SUV
2020-04-07,Honda Civic,28785,Dealer B,Black,2.5L,2021,156,SUV
2020-01-16,BMW 5 Series,54652,Dealer B,Silver,2.5L,2021,252,SUV
2023-07-08,Toyota Camry,23511,Dealer B,Red,3.0L,2023,227,Intermediate Sedan
2022-01-27,Honda Civic,47151,Dealer B,Blue,3.5L,2024,383,Intermediate Sedan
2023-01-11,Chevrolet Impala,36888,Dealer B,Black,3.5L,2024,198,Sports
2021-01-13,Honda Accord,21914,Dealer B,Green,3.0L,2021,261,Premium
2020-02-02,Audi A6,19925,Dealer B,Red,3.5L,2024,323,Intermediate Sedan
2023-06-30,Chevrolet Malibu,18374,Dealer B,Green,3.5L,2022,217,Premium
2022-03-13,Audi A6,43114,Dealer B,Red,3.0L,2021,208,Premium
2024-07-14,Honda Accord,28089,Dealer B,Black,2.5L,2021,216,Sports
2021-07-12,Ford Focus,50446,Dealer B,White,3.5L,2023,354,Premium
2023-07-09,Ford Mustang,40464,Dealer B,Black,2.0L,2025,287,Intermediate Sedan
2024-03-11,Chevrolet Impala,50527,Dealer B,White,2.0L,2025,301,Standard Sedan
2020-09-28,Audi A4,59576,Dealer B,Silver,3.5L,2023,375,Premium
2021-05-14,Chevrolet Malibu,23905,Dealer B,Green,2.0L,2020,280,SUV
2020-08-30,Ford Mustang,45717,Dealer B,Black,3.0L,2022,268,Sports
2023-10-25,Audi A4,59102,Dealer B,Blue,3.0L,2021,226,SUV
2024-01-27,Ford Mustang,56514,Dealer B,Blue,3.0L,2021,377,Sports
2023-01-26,Honda Accord,39434,Dealer B,Green,2.5L,2024,257,Intermediate Sedan
2021-01-09,Honda Civic,32433,Dealer B,Black,2.5L,2025,150,Sports
2022-10-18,Audi A4,55385,Dealer B,Black,3.0L,2024,382,Intermediate Sedan
2020-07-01,BMW 5 Series,34269,Dealer B,Gray,3.5L,2021,337,Standard Sedan
2020-08-27,Audi A6,46646,Dealer B,Green,3.0L,2023,333,Standard Sedan
2024-11-27,Ford Focus,51870,Dealer B,White,3.5L,2020,281,Premium
2021-10-03,BMW 5 Series,31730,Dealer B,Blue,3.0L,2022,184,Intermediate Sedan
2023-05-23,Honda Civic,50595,Dealer B,White,2.5L,2024,371,Standard Sedan
2020-01-13,Chevrolet Impala,43359,Dealer B,Red,3.5L,2022,278,SUV
2024-02-16,Toyota Camry,48342,Dealer B,White,2.0L,2023,214,Intermediate Sedan
2023-11-13,Chevrolet Impala,53073,Dealer B,Blue,2.0L,2021,265,Premium
2020-12-12,Chevrolet Impala,28197,Dealer B,Gray,2.5L,2025,312,SUV
2024-04-07,Chevrolet Impala,19490,Dealer B,Green,2.0L,2024,335,Standard Sedan
2022-02-10,Honda Civic,43569,Dealer B,Green,3.5L,2022,254,Standard Sedan
2022-03-15,Ford Mustang,26547,Dealer B,Blue,2.5L,2022,357,SUV
2022-12-27,BMW 5 Series,44261,Dealer B,Green,3.5L,2022,316,Premium
2020-02-22,Ford Focus,31372,Dealer B,White,2.5L,2021,314,Sports
2021-10-29,Toyota Camry,50340,Dealer B,Gray,3.0L,2021,373,Intermediate Sedan
2025-03-24,Ford Focus,41479,Dealer B,Silver,3.0L,2025,332,Standard Sedan
2022-04-14,Chevrolet Impala,44459,Dealer B,Silver,3.5L,2020,314,SUV
2021-01-27,Audi A6,59186,Dealer B,White,2.0L,2023,315,Intermediate Sedan
2020-08-29,Toyota Camry,50476,Dealer B,Blue,3.5L,2024,195,SUV
2020-02-25,Honda Accord,30665,Dealer B,Gray,2.0L,2022,247,Intermediate Sedan
2022-04-09,Toyota Camry,18514,Dealer B,White,3.5L,2022,185,Premium
2020-06-01,Honda Accord,36812,Dealer B,White,3.5L,2024,179,Premium
2025-02-12,Chevrolet Impala,47494,Dealer B,Gray,2.5L,2021,181,Intermediate Sedan
2023-07-13,Honda Civic,47507,Dealer B,Blue,2.5L,2021,248,Intermediate Sedan
2025-01-18,Ford Mustang,50635,Dealer B,Gray,3.0L,2024,387,Premium
2021-05-18,Toyota Corolla,19760,Dealer B,Gray,2.0L,2024,176,Intermediate Sedan
2023-07-04,Audi A4,28250,Dealer B,Blue,2.5L,2020,259,Standard Sedan
2025-02-26,Toyota Corolla,15712,Dealer B,White,3.5L,2020,248,Intermediate Sedan
2024-03-16,Honda Civic,48875,Dealer B,Gray,2.5L,2023,375,SUV
2020-03-24,Honda Accord,50140,Dealer B,Green,2.5L,2021,325,Standard Sedan
2023-03-29,Chevrolet Malibu,19052,Dealer B,Gray,3.0L,2025,259,Premium
2023-12-09,Honda Civic,29928,Dealer B,White,3.0L,2020,190,Sports
2021-09-01,Ford Mustang,33061,Dealer B,Red,3.5L,2024,315,Intermediate Sedan
2021-10-15,BMW 3 Series,35280,Dealer B,Gray,2.0L,2023,221,Sports
2020-03-09,Ford Mustang,37224,Dealer B,Black,2.0L,2021,357,Sports
2022-09-30,BMW 5 Series,28310,Dealer B,Silver,3.0L,2020,351,Premium
2024-09-05,Chevrolet Malibu,51999,Dealer B,Green,2.0L,2024,231,Standard Sedan
2022-04-17,Chevrolet Impala,34144,Dealer B,Green,2.5L,2025,281,Premium
2020-04-29,Ford Focus,42539,Dealer B,Red,2.0L,2021,334,SUV
2023-04-22,BMW 3 Series,53891,Dealer B,White,2.0L,2020,371,Intermediate Sedan
2023-10-28,Chevrolet Impala,17172,Dealer B,Silver,3.5L,2023,213,Premium
2023-08-22,Ford Focus,23868,Dealer B,Blue,3.0L,2020,227,Standard Sedan
2021-11-01,BMW 3 Series,37798,Dealer B,Gray,3.0L,2022,284,Sports
2020-07-07,Audi A6,33740,Dealer B,Silver,2.5L,2025,372,Sports
2021-01-05,Audi A6,21113,Dealer B,Gray,3.5L,2023,192,Premium
2023-01-12,Ford Focus,48988,Dealer B,Silver,3.0L,2020,345,Standard Sedan
2025-03-19,Honda Civic,29469,Dealer B,Blue,3.5L,2022,174,Intermediate Sedan
2023-03-13,Honda Civic,32351,Dealer B,Red,3.0L,2020,193,Standard Sedan
2023-09-06,Honda Accord,29526,Dealer B,Blue,2.0L,2023,318,Intermediate Sedan
2023-08-26,Toyota Corolla,17541,Dealer B,Black,2.0L,2025,188,Standard Sedan
2021-11-13,Ford Mustang,51973,Dealer B,Red,2.5L,2022,192,Standard Sedan
2020-08-19,Honda Civic,58863,Dealer B,Blue,3.0L,2021,383,Premium
2020-07-26,Toyota Corolla,54213,Dealer B,Silver,2.0L,2025,352,Standard Sedan
2022-03-10,Toyota Corolla,15311,Dealer B,Green,3.0L,2025,262,SUV
2023-05-03,BMW 3 Series,55876,Dealer B,Gray,3.0L,2025,252,Premium
2021-06-06,Chevrolet Malibu,59729,Dealer B,Gray,2.5L,2023,338,Standard Sedan
2020-12-01,Ford Mustang,33776,Dealer B,Blue,2.5L,2020,282,Intermediate Sedan
2024-01-10,Toyota Corolla,47178,Dealer B,Black,3.0L,2024,243,Intermediate Sedan
2021-10-24,Toyota Corolla,52261,Dealer B,Black,2.0L,2025,366,Standard Sedan
2021-04-16,Audi A6,33743,Dealer B,Black,2.5L,2023,219,Premium
2021-02-18,Ford Focus,40459,Dealer B,Blue,3.5L,2025,188,Standard Sedan
2024-02-14,BMW 5 Series,19244,Dealer B,Red,2.0L,2020,216,Standard Sedan
2020-07-05,Toyota Corolla,31141,Dealer B,Blue,2.5L,2023,164,Sports
2024-05-09,Honda Civic,44006,Dealer B,Silver,3.0L,2024,359,Standard Sedan
2022-05-05,Audi A4,38861,Dealer B,Black,2.5L,2025,316,Sports
2022-11-23,BMW 5 Series,52534,Dealer B,Silver,2.5L,2022,177,Intermediate Sedan
2024-01-21,Toyota Camry,56785,Dealer B,Silver,2.0L,2021,282,Standard Sedan
2022-06-28,Ford Focus,38073,Dealer B,White,2.5L,2025,280,SUV
2023-12-01,Honda Civic,49646,Dealer B,Green,2.5L,2022,225,SUV
2020-10-08,Honda Accord,55812,Dealer B,Gray,2.5L,2020,180,Premium
2024-10-05,Toyota Camry,22028,Dealer B,Blue,2.0L,2020,233,Intermediate Sedan
2020-04-24,BMW 5 Series,33562,Dealer B,Blue,3.0L,2023,266,Intermediate Sedan
2022-08-23,Honda Civic,24703,Dealer B,Black,3.0L,2023,220,Sports
2020-03-25,Chevrolet Impala,27443,Dealer B,Silver,3.0L,2020,185,Intermediate Sedan
2020-12-22,Ford Focus,48867,Dealer B,Red,3.0L,2023,362,SUV
2023-07-03,Toyota Corolla,54817,Dealer B,Gray,2.0L,2023,333,Intermediate Sedan
2024-06-26,Toyota Corolla,23049,Dealer B,White,2.0L,2021,178,Sports
2022-08-13,Honda Civic,41227,Dealer B,Gray,3.0L,2021,308,Sports
2020-02-26,Honda Accord,58634,Dealer B,Red,2.5L,2021,289,Intermediate Sedan
2021-09-26,Ford Focus,29245,Dealer B,Green,2.5L,2025,321,Standard Sedan
2022-08-09,Honda Accord,30847,Dealer B,Silver,3.0L,2025,296,SUV
2021-11-13,Audi A6,56582,Dealer B,Silver,3.0L,2023,321,Premium
2020-04-11,Ford Focus,52291,Dealer B,White,3.5L,2024,193,Standard Sedan
2021-03-05,Toyota Corolla,20122,Dealer B,Black,3.0L,2020,282,Sports
2020-04-24,BMW 3 Series,27290,Dealer B,White,3.5L,2021,255,Intermediate Sedan
